ID,Title,Singer,Words,Sentiment,Lyrics
77,Master Of Puppets,Metallica,517,negative,"End of passion play, crumbling away I'm your source of self-destruction Veins that pump with fear, sucking darkest clear Leading on your deaths construction  Taste me you will see More is all you need You're dedicated to How I'm killing you  Come crawling faster Obey your Master Your life burns faster Obey your Master Master Master of Puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name, `cause I'll hear you scream Master, master Just call my name, `cause I'll hear you scream Master, master  Needlework the way, never you betray life of death becoming clearer Pain monopoly, ritual misery Chop your breakfast on a mirror  Taste me you will see More is all you need Oou're dedicated to How I'm killing you  Come crawling faster Obey your Master Your life burns faster Obey your Master Master Master of Puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name, `cause I'll hear you scream Master, master Just call my name, `cause I'll hear you scream Master, master  Master, Master, Where's the dreams that I've been after? Master, Master, You promised only lies Laughter, Laughter, All I hear and see is laughter Laughter, Laughter, laughing at my cries  Hell is worth all that, natural habitat Just a rhyme without a reason Neverending maze, drift on numbered days Now your life is out of season  I will occupy I will help you die I will run through you Now i rule you too  Come crawling faster Obey your Master Your life burns faster Obey your Master Master Master of Puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can't see a thing Just call my name, `cause I'll hear you scream Master, master Just call my name, `cause I'll hear you scream Master, master  "
78,Maybe,Kelly Clarkson,267,negative,"I am strong but I break I am stubborn And I make plenty of mistakes Yeah I am hard And life with me is never easy To figure out, to love I am jaded but oh so lovely All you have to do is hold me And you will know and you will see just how sweet it can be If you will trust me, love me, let me Maybe, maybe Someday When we're at the same place When we're on the same road When it's okay to hold my hand Without feeling lost Without all the excuses When it's just because you love me, you let me, you need me Then maybe, maybe All you have to do is hold me And you will know and you will see just how sweet it can be If you will trust me, love me, let me I am confusing as hell I am north and south And I'll probably never have it all figured out But what I know is I wasn't meant to walk this world without you And I promise I'll try Yeah I am gonna try to give you every little part of me Every single detail you missed with your eyes Then maybe Maybe, yeah maybe One day We'll meet again and you will need me, you will see me completely Every little bit Oh yeah maybe you will love me, you will love me then I don't want to be tough And I don't want to be proud I don't need to be fixed and I certainly don't need to be found I am not lost I need to be loved I just need to be loved I just want to be loved by you and I won't stop 'cause I believe That maybe, yeah maybe Maybe, yeah maybe... Maybe...  I should know better than to touch the fire twice But I am thinking maybe, yeah maybe you might Maybe, love maybe "
79,Motivation,SUM 41,171,negative,"What's the difference of never knowing at all? When every step I take is always too small. Maybe it's just something I can't admit but lately, I feel like I don't give a shit. Motivation such an aggravation, Accusations don't know how to take them. Inspiration's getting hard to fake it. Concentration's never hard to brake it. Situation never what you want it to be. What's the point of never making mistakes? Self-indulgence is such a hard habit to brake. It's all just a waste of time in the end. I don't care so why should I even pretend. Motivation such an aggravation, Accusations don't know how to take them. Inspiration's getting hard to fake it. Concentration's never hard to brake it. Situation never what you want it. Nothing's new, everything's the same. It keeps on dragging me down, it's getting kind of lame. I'm falling further behind, there's nothing to explain. No matter what you say nothing 's gonna change my mind. Can't pretend on doubt until the end. It seems like leaving friends has become This years trend and though I can't pretend. It's not the same but who's to blame, or all those stupid things I never said. Motivation such an aggravation, Accusations don't know how to take them. Inspiration's getting hard to fake it. Concentration's never hard to brake it. Motivation such an aggravation, Accusations don't know how to take them. Inspiration's getting hard to fake it. Concentration's never hard to brake it. Situation never what you want it to be.  Never what you want it to be. Never what you want it to be. "
80,Motorbreath,Metallica,202,negative,Living and dying laughing and crying Once you have seen it you will never be the same Life in the fast lane is just how it seems Hard and it is heavy dirty and mean Motorbreath Its how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away Don't stop for nothing its full speed or nothing I am taking down you know whatever is in my way Getting your kicks as you are shooting the line Sending the shivers up and down your spine Motorbreath Its how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away Those people who tell you not to take chances They are all missing on what life is about You only live once so take hold of the chance Don't end up like others the same song and dance Motorbreath Its how I live my life I can't take it any other way Motorbreath The sign of living fast It is going to take Your breath away
81,Mr. Know It All,Kelly Clarkson,235,negative,"Well you think you know it all But you don't know a thing at all Ain't it something y'all When somebody tells you something 'bout you Think that they know more than you do So you take it down, another pill to swallow Mr. Bring Me Down Well you like to bring me down, don't ya? But I ain't laying down Baby I ain't going down Can't nobody tell me how it's gonna be Nobody's gonna make a fool out of me Babe, you should know that I lead, not follow  Oh you think that you know me That's why I'm leaving you lonely  âCause babe, you don't know a thing about me You don't know a thing about me You ain't got the right to tell me When and where to go, no right to tell me Acting like you own me lately Yeah, baby, you don't know a thing about me You don't know a thing about me Mr. Play Your Games Only got yourself to blame When you want me back again But I ain't fallin' back again âCause I'm living my truth without your lies Let's be clear, baby  this is goodbye I ain't comin' back tomorrow Oh you think that you know me That's why I'm leaving you lonely âCause babe, you don't know a thing about me You don't know a thing about me You ain't got the right to tell me When and where to go, no right to tell me Acting like you own me lately Yeah, baby, you don't know a thing about me You don't know a thing about me So what, you've got the world at your feet And you know everything about everything But you don't You still think I'm comin' back but baby, you'll see Oh you think that you know me That's why I'm leaving you lonely âCause babe, you don't know a thing about me You don't know a thing about me You ain't got the right to tell me When and where to go, no right to tell me Acting like you own me lately Yeah, baby, you don't know a thing about me You don't know a thing about me Mr. Know It All Well you think you know it all But you don't know a thing at all Yeah, baby, you don't know a thing about me You don't know a thing about me "
82,Music Box,Eminem,310,negative,"Yo, yeah girl, Can you hear that? It's playing our song.. Are you sleepy? Take a nap.. You're not afraid of the dark? Are you.?  You hear the beat as it makes ya not wanna go to sleep I knock on Dakota's door, its locked so I go to creep round the back, with binoculars, not cause I wanna peep But because I'm hungry she smells like tacos I wanna eat Visions of hot chocolatey marshmallows all so sweet With sugar plums, oh look here comes Marshall he's on your street He's placing hot smoldering charcoals beneath your feet Now walk on 'em, he's dancing with carcasses cheek to cheek Like a Thanksgiving turkey, or holiday ham Cinnamon sprinkled on toast, strawberry marmalade jam Flavor my favorite graham crackers with John Bennet Rams I guess a modern day Jack the Ripper is all that I am  Cos when the lights are off, I see the girls asleep (My music box) But I can hear my luck keep calling me (My music box) When were worlds apart, you mean the world to me (My music box) ? I will answer (My music box)  Cos when the lights are off, I see the girls asleep (My music box) I hear my music box, playing a song for me (My music box) So when she twirls around do a whirl for me (My music box) ? (My music box)  I almost look comatose, who wants to be sober gross I foam like a Doberman, mouth open I overdose Put coke up my nostrils, in both my holes and I plug my nose My pupils quadruple in size, eyes are so bugged I know I put on my mother's make up, get naked and run around Wavin' the gun around, I think I'm down to a hundred pounds There's thunder, I wonder how come it rains but the sun is out The devils upset with his wife, they must be sluggin' it out I must be buggin' the f-ck out, but what the f-ck about? Voices are leading me up to the attic, I love my house They pull and they tug my blouse, the sound of a music box Comes from inside a toy chest, but what do I do, it's locked I pick it and open it but it's stuffed full of human parts I dig till I find it, I wind it up and the tune just starts Its playing a song, so beautiful and the room is dark The moon is full, I smell a funeral, guess I'll loom in the park  Cos when the lights are off, I see the girls asleep (My music box) But I can hear my luck keep calling me (My music box) When were worlds apart, you mean the world to me (My music box) ? I will answer (My music box)  Cos when the lights are off, I see the girls asleep (My music box) But I can hear my luck keep calling me (My music box) When were worlds apart, you mean the world to me (My music box) ? I will answer (My music box)  I'm fixated on asphyxiating and breakin' this little chick's Neck like a pixie stick The sick Satan worshippin', bitches get horse-whippins, I'm in the back, through the back door, slip in Through the crack leavin' the corpse drippin' The mortician of love, sent from above, forced and treat em all stingy I've become Been doin' this for more than a quarter century, I'm just numb Am I dreamin', is it real Someone pinch me on the buns The time has come to tie her up, gotta roll me the ladder I'd had enough of the chatter, climb up to the window, look at her then climb in and slowly shatter her brain matter and batter her with the bat, a matter of fact that will splatter her But before I do that, I'll have a chat to flatter her Give her two compliments, back-to-back, like Tabatha I'm your secret admirer, I'm back to ravish ya So strong is your fight, but your no match for Dracula Prolonging her plight, as I go back to stabbin' her Dismember her limbs, simple as that, cadaver her Zoom in with the lens, then pan back, the camera Stand back, cuz here comes your man Jack, so Pamela  Cos when the lights are off, I see the girls asleep (My music box) But I can hear my luck keep calling me (My music box) When were worlds apart, you mean the world to me (My music box) ? I will answer (My music box)  Cos when the lights are off, I see the girls asleep (My music box) But I can hear my luck keep calling me (My music box) When were worlds apart, you mean the world to me (My music box) ? I will answer (My music box)  "
83,My Derailment,Adelitas Way,217,negative,"Yeah, yeah  Yeah, yeah  So fake that You hate it A city that seems so jaded I can't, I can't end up like that  It's all about what you're driving you know In a second It'll swallow you whole So fast just like that, you're way off track  To all you Who want to You want to it just ain't worth it To all you Who need to You need to know I don't give a fuck that you can't stand me I've finally had enough of what you're sayin' Now you're talking tough 'cause you back-stabbed me You're my derailment So sick and So shameless So I'd never stop by saying Do you know, you know, who I am  It's not about what you're driving you know 'Cause when it's gone you'll be standing alone So fast, just like that You turned your back  To all you Who want to You want to it just ain't worth it To all you Who need to You need to know I don't give a fuck that you can't stand me I've finally had enough of what you're sayin' Now you're talking tough 'cause you back-stabbed me You're my derailment It's funny how you lie and try to wreck me It's funny how you're falling on your face I'm never going to let you disrespect me You're my derailment  Ohhhhhhhhhhh, yeahhh  I don't give a fuck that you can't stand me I've finally had enough so gone away Now you're talking tough 'cause you back-stabbed me You're my derailment It's funny how you lie and try to wreck me It's funny how you're falling on your face I'm never going to let you disrespect me You're my derailment  Where do we go from here If everything's so unclear Too late to be back for my lonely She,too late to turn back time I'll never make it out alive Until the day I see through all your lies  "
84,My Life Would Suck Without You,Kelly Clarkson,215,negative,"Guess this means you're sorry You're standing at my door Guess this means you take back All you said before Like how much you wanted Anyone but me Said you'd never come back But here you are again  Cause we belong together now Forever united here somehow You got a piece of me  And honestly, My life would suck without you Maybe I was stupid for telling you goodbye Maybe I was wrong for tryin' to pick a fight I know that I've got issues But you're pretty messed up too Either way, I found out I'm nothing without you Cause we belong together now Forever united here somehow You got a piece of me  And honestly, My life would suck without you Being with you Is so disfunctional I really shouldn't miss you But I can't let you go Oh yeah  Cause we belong together now Forever united here somehow You got a piece of me And honestly, My life would suck without you Cause we belong together Forever united here somehow You got a piece of me And honestly, My life would suck without you  "
85,Never Again,Kelly Clarkson,222,negative,I hope the ring you gave to her turns her finger green I hope when you re in bed with her You think of me I would never wish bad things But I don t wish you well Could you tell by the flames that burned your words  I never read your letter Cause I knew what you d say Give me that Sunday school answer Try and make it all ok  Does it hurt To know I ll never be there Bet it sucks See my face everywhere It was you Who chose to end it like you did I was the last to know You knew Exactly what you would do Don t say You simply lost your way She may believe you but I never will Never again  If she really knows the truth She deserves you A trophy wife oh~ how cute Ignorance is bliss But when your day comes and he s through with you And he ll be through with you You ll die together but alone  You wrote me in a letter You couldn t say it right to my face Give me that Sunday school answer Repent yourself away  Does it hurt To know I ll never be there Bet it sucks See my face everywhere It was you Who chose to end it like you did I was the last to know You knew Exactly what you would do Don t say You simply lost your way They may believe you but I never will Never again  Never again will I hear you Never again will I miss you Never again will I fall to you Never Never again will I kiss you Never again will I want to Never again will I love you Never  Does it hurt To know I ll never be there Bet it sucks See my face everywhere It was you Who chose to end it like you did I was the last to know You knew Exactly what you would do Don t say You simply lost your way They may believe you but I never will I never will I never will Never again
86,Nookie,Limp Bizkit,266,negative,"I came into this world as a reject Look into these eyes Then you'll see the size of the flames Dwellin on the past Its burnin up my brain Everyone that burns has to learn from the pain Hey, i think about the day My girlie ran away with my pay My fellas came to play Now shes stuck with my homies that she fucked And i'm just a sucker with a lump in my throat Hey, like a chump, hey--7x Should i be feelin bad (no) Should i be fellin good (no) Its kinda sad I'm the laughing stock of the neighborhood And you would think that i would be movin on But i'm a sucka like i said Fucked up in the head, not And maybe she just made a mistake And i should give her a break My heart'll ache, either way Hey, what the hell you want me to say I won't lie That i can't deny I did it all for the nookie, come on The nookie, come on So you can take the cookie and stick it up your(yea)-3x I did it all for the nookie, come on The nookie, come on So you can take the cookie and stick it up your (yea)-3x Why did it take so long Why did i wait so long, huh To figure it out But i did it And i'm the only one Underneath the sun who didn't get it I can't believe that could be decieved (but you were)by my so called girl, but in reality Had a hidden agenda She put my tender heart in a blender And still i surrendered Hey,like a chump, hey--7x I did it all for the nookie, come on The nookie, come on So you can take the cookie and stick it up your(yea)-3x I did it all for the nookie, come on The nookie, come on So you can take the cookie and stick it up your (yea)-3x I'm only human So for your friends give you their advice They'll tell you, to just let it go Its easier said than done I appreciate it, i do, but Just leave me alone, leave me alone Just leave me alone Nothings gunna change You can go away I'm just gunna stay here and always be the same Ain't nothing gunna change Cuz you can go away And i'm just gunna stay here and always be the same So you can take the cookie and stick it up your (yea)-3x "
87,Nothing Else Matters,Metallica,392,negative,"so close no matter how far couldn't be much more from the heart forever trust in who we are and nothing else matters never opened myself this way life is ours, we live it our way all theese i don't just say and nothing else matters trust i seek and i find in you every day for us something new open mind for a different view and nothing else matters never cared for what they do never cared for what they know but i know so close no matter how far couldn't be much more from the heart forever trust in who we are and nothing else matters never cared for what they do never cared for what they know but i know never opened myself this way life is ours, we live it our way all theese words i don't just say and nothing else matters trust i seek and i find in you every day for us domething new open mind for a different view and nothing else matters never cared for what they say never cared for games they play never cared for what they do never cared for what they know and i know so close no matter how far couldn't be much more from the heart forever trust in who we are no nothing else matters "
88,One Mic,Nas,269,negative,"Yo, all I need is one mic, one beat, one stage One nigga front, my face on the front page Only if I had one gun, one girl and one crib One God to show me how to do things his son did Pure, like a cup of virgin blood; mixed with 151, one sip'll make a nigga flip Writin names on my hollow tips, plottin shit Mad violence who I'm gon' body, this hood politics Ackowledge it, leave bodies chopped up in garbages Seeds watch us, grow up and try to follow us  One knee I ducked, could it be my time is up But my luck, I got up, the cop shot again Bus stop glass bursts, a fiend drops his Heineken Richochetin between the spots that I'm hidin in  This is my hood I'ma rep, to the death of it 'til everybody come home, little niggaz is grown Hoodrats, don't abortion your womb, we need more warriors soon Sent from the star sun and the moon In this life of police chases street sweepers and coppers Stick-up kids with no conscience, leavin victims with doctors IF YOU REALLY THINK YOU READY TO DIE, WITH NINES OUT THIS IS WHAT NAS IS BOUT, NIGGA THE TIME IS NOW!  Yo, all I need is one mic.. All I need is one mic.. that's all I need All I need is one mic.. all I need niggaz All I need is one mic.. yeah  All I need is one blunt, one page, and one pen One prayer - tell God forgive me for one sin Matter fact maybe more than one, look back at all the hatred against me, fuck alla them Jesus died at age 33, there's thirty-three shots from twin glocks there's sixteen apiece, that's thirty-two Which means, one of my guns was holdin 17 Twenty-seven hit your crew, six went into you Everybody gotta die sometime; hope your funeral never gets shot up, bullets tear through the innocent Nothin is fair, niggaz roll up, shootin from wheelchairs My heart is racin, tastin revenge in the air I let the shit slide for too many years, too many times Now I'm strapped with a couple of macs, too many nines If y'all niggaz really wit me get busy load up the semis Do more than just hold it explode the clip until you empty There's nothin in our way - they bust, we bust, they rust, we rust Led flyin, feel it?  I feel it in my gut THAT WE TAKE THESE BITCHES TO WAR, LIE 'EM DOWN CAUSE WE STRONGER NOW MY NIGGA THE TIME IS NOW!!  All I need is one mic.. that's all I need, that's all I need All I need is one mic.. there's nuttin else in the world All I need is one mic.. that's all a nigga need to do his thing y'know All I need is one mic..  ALL I NEED IS ONE LIFE, ONE TRY, ONE BREATH I'M ONE MAN WHAT I STAND FOR SPEAKS FOR ITSELF, THEY DON'T UNDERSTAND Or wanna see me on top, too egotistical Talkin all that slick shit, the same way these bitches do Wonder what my secrets is, niggaz'll move on you only if they know, what your weakness is I have none Too late to grab guns I'm blastin cause I'm a cool nigga Thought I wouldn't have that ass done?  Fooled you niggaz What you call a infinite brawl, eternal souls clashin War gets deep, some beef is everlastin Complete with thick scars, brothers knifin each other up in prison yards, drama, where does it start? You know the block was ill as a youngster Every night it was like a, cop would get killed body found in the dumpster For real a hustler, purchased my Range, niggaz throwin dirt on my name Jealous cause fiends got they work and complain Bitches left me cause they thought I was finished Shoulda knew she wasn't true she came to me when her man caught a sentence Diamonds are blindin, I never make the same mistakes Movin with a change of pace, lighter load, see now the king is straight Swellin my melon cause none of these niggaz real Heard he was, tellin police, how can a kingpin squeal? This is crazy, I'm on the right track I'm finally found You need some soul searchin, the time is now  All I need is one mic.. yeah, yeah yeah yeah All I need is one mic.. that's all I ever needed in this world, fuck cash All I need is one mic.. fuck the cars, the jewelry All I need is one mic.. to spread my voice to the whole world "
89,Only,Nine Inch Nails,701,negative,"I'm becoming less defined, as days go by Fading away, well you might say I'm losing focus Kinda drifting into the abstract in terms of how I see myself  Sometimes, I think I can see right through myself Sometimes, I think I can see right through myself Sometimes, I can see right through myself  Less concerned, about fitting into the world Your world that is, cause it doesn't really matter anymore (no, it doesn't really matter anymore) No, it doesn't really matter anymore None of this sh... really matters anymore  Yes I am alone but then again I always was As far back as I can tell, I think maybe it's because because you were never really real to begin with I just made you up, to hurt myself  I just made you up to hurt myself Yeah, and I just made you up to hurt myself I just made you up to hurt myself Yeah, and I just made you up to hurt myself  And it worked Yes it did!  There is no you, there is only me There is no you, there is only me There is no fucking you, there is only me There is no fucking you, there is only me  Only Only Only Only  Well the tiniest little dot caught my eye and it turned out to be a scab And I had this funny feeling, like I just knew it's something bad  I just couldn't leave it alone I cut off that scab It was a doorway trying to seal itself shut But I climbed through  Now I'm somewhere I am not supposed to be And I can see things I know I really shouldn't see And now I know why now, now I know why Things aren't as pretty, on the inside  There is no you, there is only me There is no you, there is only me There is no fucking you, there is only me There is no fucking you, there is only me  Only Only Only Only Only Only Only Only  "
90,Orchids,Stone Sour,264,negative,"You hold me inside your iris a terminal stain on life You condescend to my primal brain and twist me around like a knife Can't begin to explain The feelings I have restrained Don't ask me how I am Because you're too busy planning your epitaph Let me tell you DON'T - try to be the ONE - person Who has STAYED - just to say They never left me! Aggravated, complicated, someone say it You keep me hidden behind a curtain, You feed me orchids to give me courage and keep me in line with disdain Can't begin to explain The feelings I have restrained Don't ask me how I am Because you're too busy planning your epitaph Let me tell you DON'T - try to be the ONE - person Who has STAYED - just to say They never left me! Aggravated, complicated, someone say it I have nothing left for you you left me with nothing I have nothing left for you I live at arm's length and die a little, between your constants by day I want my soul back before it's over, I can't even wish you away Can't begin to explain The feelings I have restrained Don't ask me how I am Because you're too busy planning your epitaph Let me tell you DON'T - try to be the ONE - person Who has STAYED - just to say They never left me! Aggravated, complicated, someone say it I NEVER LEARN!! å¶ä½äºº çæè¯­ "
91,Paint It Black,Vanessa Carlton,215,negative,"I see a red door and I want it painted black No colors anymore, I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes  I see a line of cars and they are painted black With flowers and my love both never to come back I see people turn their heads, they quickly look away Like a new born baby it just happens every day  I look inside myself and see my heart is black I see my red door and it's heading into black Maybe then I'll fade away and not have to face the facts It's not easy facing up when your whole world is black I wanna see it painted, painted, painted black, oh baby I wanna see it painted, painted, painted black, oh baby  No more will my green sea go turn a deeper blue I could not foresee this thing happening to you If I look hard enough into the setting sun My love will laugh with me before the morning comes  I wanna see it painted, painted, painted black Oh, black as night black as coal I wanna see the sun blotted out from the sky Painted, painted, painted black, oh baby Painted, painted, painted black  "
92,Pancake,Tori Amos,357,negative,"I'm not sure who's fooling who here As I'm watching your decay We both know you could deflate A 7 hurricane Seems like you and your tribe Decided you'd rewrite the law Segregate the mind From Body and from soul  You give me yours I'll give you mine Cause I can look your God Right in the eye You give me yours I'll give you mine You used to look my God Right in the eye  I believe in defending In what we once Stood for It seems in vogue To be a closet Misogynist homophobe A change of course in Our direction A dash of truth Spread thinly Like a flag On a popstar On a Benzodiazapene You give me yours I'll give you mine Cause I can look your God Right in the eye You give me yours I'll give you mine You used to look my God Right in the eye  Oh Zion please Remove your glove And dispel every trace Of His spoken word That has lodged In my vortex  I'm not sure who's fooling who here As I'm watching your decay We both know you could deflate A 7 hurricane You could have spared Her - oh but no Messiahs need People dying in their Name You could have spared Her - oh but no Messiahs need People dying in their Name You say ""I ordered you a pancake""  You say ""I ordered you a pancake""  "
93,Physical (You'Re So),Nine Inch Nails,331,negative,I wanna take you baby I wanna take you out I wanna wine and dine you Oh I wanna twist and twist and shout I want you hot in my arms So soft on my bed You get the key to my heart Oh when you wear that sweet dress  But you're too physical physical to me You're just too physical physical no to me  I want your rough house baby I want this right in your ear You let me feel your danger I let you make this feeling clear here I want the touch of your charms The heat of your breath I wanna say all those things That would be better unsaid No  But you're too physical physical to me You're just too physical oh You're too physical for me You're too physical to me You're really jus- just too- just Too really fuck no  You're just too physical Too fucking physical No Oh you're too physical
94,Pick Up the Phone,Falling In Reverse,279,negative,"Pick up the phone Answer your text Well I apologize about last night I really did not mean to disrespect . You You better be alone No I''m not obsessed But if I catch you with somebody else You know that I am gonna be upset . I truly believe that the reason I''m here Is to tell you the truth that your ending is near One day you must look at yourself in mirror I still don''t think you are hearing me clear You must understand that our friendship is done Justified by the person that you have become And because of the fact that enough is enough Now the one that is holding the gun! . Whoa This will be the end of us I have tried way too many times to heal I have loved you so much it hurts me dear And this, this will be the end of us . Pick up the phone Pick up the phone Pick up the phone Well I apologize about last night I really did not mean to disrespect .  Pick yourself up Up off the floor Wipe the tears from off your face Because the cops are knocking on the door They''re gonna wanna know what''s up! Better tell them that you fell Cause when they see the bruises on my face They''re probably taking both of us to jail . I''m sick and tired of fighting each other The lying, the crying, the calling your mother The calling of names, I''m bothered and smothered We kiss and make up, get under the covers A dangerous cycle I don''t understand The kicking and screaming, the breaking of limbs I''ll be damned if I see you with some other man If I cannot have you, then nobody can . Whoa This will be the end of us I have tried way too many times to heal I have loved you so much it hurts me dear And this, this will be the end of us . Death do us part I thought you would never go straight For my heart I''m better off living in hell .  Pick up your phone Pick up your phone Pick up the phone . Whoa This will be the end of us I have tried way too many times to heal I have loved you so much it hurts me dear And this, this will be the end of us! . Pick up the phone Pick up the phone Pick up the phone . Well I apologize about last night I really did not mean to disrespect "
95,Picture To Burn,Taylor Swift,179,negative,"State the obvious I didn't get my perfect fantasy I realized you love yourself More that you could ever love me So go and tell your friends That I'm obsessive and crazy That's fine, I'll tell mine You're gay and by the way I hate that stupid old pickup truck You never let me drive You're a redneck, heartbreaker Who's really been a lie So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn There's no time for tears I'm just sitting here planning my revenge Nothing stopping me From going out with all of your best friends And if you come around saying sorry to me My daddy's going to show you how sorry you'll be Cause I hate that stupid old pickup truck You never let me drive You're a redneck, heartbreaker Who's really been a lie, yeah So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn And if you're missing me You better keep it to yourself Cause coming back around here Would be bad for your health Cause I hate that stupid old pickup truck You never let me drive You're a redneck, heartbreaker Who's really been a lie, yeah So watch me strike a match On all my wasted time In case you haven't heard I really, really hate that stupid old pickup truck You never let me drive You're a redneck, heartbreaker Who's really been a lie, yeah So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn Burn, burn, burn, baby burn Just another picture to burn Baby, burn  "
96,Pig,Sparklehorse,146,negative,why don't you sing me that pretty lullaby then when you're singing great pack it all up I wanna new face right now and I want it bad I wanna new body that's strong I'm a butchered cow I wanna try and fly I wanna try and die I wanna be a pig I wanna fuck a car I wanna new face right now and I want it bad I wanna new body that's strong I'm a butchered cow I wanna be a stupid and shallow motherfucker now I wanna be a tough skinned bitch but I don't know how I wanna be a shiny new baby with a spongy brain I wanna be a horse fill of fire what will never reign
97,Playing Your Song,Hole,203,negative,"Hey you, you're way ahead of me You're drunk on apathy You burned right out Hey you, you're just a cripple now They sell for millions now They sold you out  Oh, I had to tell them you were gone I had to tell them they were wrong And now they're playing your song  Hey you, don't take it out on me You're bored on apathy You burned right out Hey you, so bored and cynical It's fucking wonderful, they sold you out  Oh, they've bought and sold it all it's gone They've taken it and built a mall And now they're playing your song  Oooh, their innocence tastes like candy, yeah Get so fat on it, it's a tragedy, yeah Oooh, I can help you come to me yeah Just bring your innocence to me, yeah  Hey you, don't you dare blame me You trusted everything They sold you out Hey you It's just so mean and cruel They sold you out Oh, they've bought and sold it all it's gone They've taken it and built a mall And now they're playing your song "
98,Pretend We'Re Dead,L7,235,negative,"What's up with what's going down In every city, in every town Cramping styles is the plan They've got us in the palm of every hand When we pretend that we're dead When we pretend that we're dead They can't hear a word we've said When we pretend that we're dead Turn the tables with our unity They neither moral nor majority Wake up and smell the coffee Or just say no to individuality When we pretend that we're dead When we pretend that we're dead They can't hear a word we've said When we pretend that we're dead Come on, come on, come on come on When we pretend that we're dead When we pretend that we're dead They can't hear a word we've said When we pretend that we're dead   "
99,Pretty Fly (For A White Guy),The Offspring,189,negative,"Give it to me baby, Uh-huh uh-huh Give it to me baby, Uh-huh uh-huh Give it to me baby Uh-huh uh-huh And all the girlies say I'm pretty fly for a white guy Uno, dos, tres, quatro, cinco, cinco, seis You know it's kind of hard Just to get along today Our subject isn't cool But he fakes it anyway He may not have a clue And he may not have style But everything he lacks Well he makes up in denial So don't debate, a player straight  you know he really doesn't get it anyway gonna play the field, keep it real But for you no way, for you no way So if you don't rate, just overcompensate  At least you'll know you can always go on Ricki Lake The world needs wannabes, so ï¼hey, heyï¼ Do that brand new thing Give it to me baby, Uh-huh uh-huh Give it to me baby, Uh-huh uh-huh Give it to me baby Uh-huh uh-huh And all the girlies say I'm pretty fly for a white guy He needs some cool tunes Not just any will suffice But they didn't have Ice Cube So he bought Vanilla Ice Now cruising in his pinto, he sees homies as he pass But if he looks twice They're gonna kick his lily ass So don't debate, a player straight  you know he really doesn't get it anyway gonna play the field, keep it real But for you no way, for you no way So if you don't rate, just overcompensate At least you'll know you can always go on Ricki Lake The world loves wannabes, so ï¼hey, heyï¼ Do that brand new thing Now he's getting a tattoo, yeah He's gettin' ink done He asked for a ""13"" but they drew a ""31"" Friends say he's trying too hard And he's not quite hip But in his own mind He's the, he's the dopest trip Give it to me baby, Uh-huh uh-huh Give it to me baby, Uh-huh uh-huh Give it to me baby Uh-huh uh-huh Uno, dos, tres, quatro, cinco, cinco, seis So don't debate, a player straight you know he really doesn't get it anyway gonna play the field, keep it real For you no way, for you no way So if you don't rate, just overcompensate  At least you'll know you can always go on Ricki Lane The world needs wannabes The world loves wannabes Let's get some more wannabes ï¼hey, heyï¼ Do that brand new thing  "
100,Pride,Manchester Orchestra,361,negative,"Finally I felt the calming breeze Stepping out to watch the final scene. After all it's you, my pride, and me. I can speak whatever I can speak. You see.  Now I found the way to meet the means. Faker face to make the kingdom clean. After all it's me, the king, and the beast. Whateverâ¦ whateverâ¦ I can't speak A thing.  How can I explain my winded feet? Cut them off in 2nd Mark it seems. Cut me off before I start to see. But I can cry as long as my deceit. You see? Me. See. Me. Me. Me. Me.  Sound. I'm a dead neck, what a habit, so I'll dig it up and bury it in Ground. What broke head, I think I'm dyin', I need another one to incubate the Sound. What broke head, what a habit, I need another and another one The Ground. What a dead head, I think I'm dyin', I think I'm dyin' for another one The Sound. What a broke neck, what a lion, I need another and another one The Sound. What a cheap trick, what a habit, what a habit when I need it yeah The Sound. What a dead neck, what a lion, I need another and another one The Sound. What a cheap trick, what a habit, I think I'm dyin' for The Sound. What a dead neck, what a habit, I think I'll dig up and bury it in Ground. What a broke head, I think I'm dyin', I think dyin'.  "
